grouped_linked_trip_mode,grouped_tour_mode,trips,purpose
SHARED3,All,4139880.0,Total
WALK,All,3522210.0,Total
BIKE,All,376850.0,Total
WALK-TRANSIT,All,1126799.0,Total
PNR-TRANSIT,All,213770.0,Total
KNR-TRANSIT,All,106036.0,Total
TNC-TRANSIT,All,17759.0,Total
TAXI,All,123846.0,Total
TNC-REG,All,166827.0,Total
TNC-SHARED,All,78218.0,Total
SCHOOLBUS,All,743451.0,Total
All,All,33840741.0,Total
DRIVEALONE,DRIVEALONE,5072804.0,Work
SHARED2,DRIVEALONE,0.0,Work
SHARED3,DRIVEALONE,0.0,Work
WALK,DRIVEALONE,48948.0,Work
BIKE,DRIVEALONE,0.0,Work
WALK-TRANSIT,DRIVEALONE,0.0,Work
PNR-TRANSIT,DRIVEALONE,0.0,Work
KNR-TRANSIT,DRIVEALONE,0.0,Work
TNC-TRANSIT,DRIVEALONE,0.0,Work
TAXI,DRIVEALONE,0.0,Work
TNC-REG,DRIVEALONE,0.0,Work
TNC-SHARED,DRIVEALONE,0.0,Work
SCHOOLBUS,DRIVEALONE,0.0,Work
All,DRIVEALONE,5121752.0,Work
DRIVEALONE,SHARED2,770984.0,Work
SHARED2,SHARED2,958432.0,Work
SHARED3,SHARED2,0.0,Work
WALK,SHARED2,31938.0,Work
BIKE,SHARED2,0.0,Work
WALK-TRANSIT,SHARED2,0.0,Work
PNR-TRANSIT,SHARED2,0.0,Work
KNR-TRANSIT,SHARED2,0.0,Work
TNC-TRANSIT,SHARED2,0.0,Work
TAXI,SHARED2,0.0,Work
TNC-REG,SHARED2,0.0,Work
TNC-SHARED,SHARED2,0.0,Work
SCHOOLBUS,SHARED2,0.0,Work
All,SHARED2,1761354.0,Work
DRIVEALONE,SHARED3,368889.0,Work
SHARED2,SHARED3,133675.0,Work
SHARED3,SHARED3,419894.0,Work
WALK,SHARED3,19776.0,Work
BIKE,SHARED3,0.0,Work
WALK-TRANSIT,SHARED3,0.0,Work
PNR-TRANSIT,SHARED3,0.0,Work
KNR-TRANSIT,SHARED3,0.0,Work
TNC-TRANSIT,SHARED3,0.0,Work
TAXI,SHARED3,0.0,Work
TNC-REG,SHARED3,0.0,Work
TNC-SHARED,SHARED3,0.0,Work
