grouped_tour_mode,auto_suff,tours,purpose
PNR-TRANSIT,2,2203.0,Work sub-tour
KNR-TRANSIT,2,652.0,Work sub-tour
TNC-TRANSIT,2,171.0,Work sub-tour
TAXI,2,2187.0,Work sub-tour
TNC-REG,2,406.0,Work sub-tour
TNC-SHARED,2,0.0,Work sub-tour
SCHOOLBUS,2,0.0,Work sub-tour
All,2,499669.0,Work sub-tour
DRIVEALONE,All,366422.0,Work sub-tour
SHARED2,All,51786.0,Work sub-tour
SHARED3,All,28878.0,Work sub-tour
WALK,All,152365.0,Work sub-tour
BIKE,All,5830.0,Work sub-tour
WALK-TRANSIT,All,11102.0,Work sub-tour
PNR-TRANSIT,All,2571.0,Work sub-tour
KNR-TRANSIT,All,1010.0,Work sub-tour
TNC-TRANSIT,All,331.0,Work sub-tour
TAXI,All,4472.0,Work sub-tour
TNC-REG,All,802.0,Work sub-tour
TNC-SHARED,All,1050.0,Work sub-tour
SCHOOLBUS,All,0.0,Work sub-tour
All,All,626619.0,Work sub-tour
DRIVEALONE,0,9288.0,Ind-Maintenance
SHARED2,0,25813.0,Ind-Maintenance
SHARED3,0,24826.0,Ind-Maintenance
WALK,0,91932.0,Ind-Maintenance
BIKE,0,10754.0,Ind-Maintenance
WALK-TRANSIT,0,32642.0,Ind-Maintenance
PNR-TRANSIT,0,297.0,Ind-Maintenance
KNR-TRANSIT,0,787.0,Ind-Maintenance
TNC-TRANSIT,0,399.0,Ind-Maintenance
TAXI,0,7549.0,Ind-Maintenance
TNC-REG,0,8571.0,Ind-Maintenance
TNC-SHARED,0,4767.0,Ind-Maintenance
SCHOOLBUS,0,0.0,Ind-Maintenance
All,0,217625.0,Ind-Maintenance
DRIVEALONE,1,96502.0,Ind-Maintenance
SHARED2,1,87005.0,Ind-Maintenance
SHARED3,1,91325.0,Ind-Maintenance
WALK,1,45849.0,Ind-Maintenance
BIKE,1,9131.0,Ind-Maintenance
WALK-TRANSIT,1,10006.0,Ind-Maintenance
PNR-TRANSIT,1,191.0,Ind-Maintenance
KNR-TRANSIT,1,592.0,Ind-Maintenance
TNC-TRANSIT,1,182.0,Ind-Maintenance
TAXI,1,1671.0,Ind-Maintenance
TNC-REG,1,6958.0,Ind-Maintenance
TNC-SHARED,1,2214.0,Ind-Maintenance
SCHOOLBUS,1,0.0,Ind-Maintenance
All,1,351626.0,Ind-Maintenance
DRIVEALONE,2,1454487.0,Ind-Maintenance
SHARED2,2,949214.0,Ind-Maintenance
SHARED3,2,705938.0,Ind-Maintenance
WALK,2,249244.0,Ind-Maintenance
BIKE,2,24716.0,Ind-Maintenance
WALK-TRANSIT,2,21646.0,Ind-Maintenance
PNR-TRANSIT,2,2221.0,Ind-Maintenance
KNR-TRANSIT,2,2183.0,Ind-Maintenance
TNC-TRANSIT,2,500.0,Ind-Maintenance
TAXI,2,18816.0,Ind-Maintenance
TNC-REG,2,9927.0,Ind-Maintenance
TNC-SHARED,2,5286.0,Ind-Maintenance
SCHOOLBUS,2,0.0,Ind-Maintenance
All,2,3444178.0,Ind-Maintenance
DRIVEALONE,All,1560277.0,Ind-Maintenance
SHARED2,All,1062032.0,Ind-Maintenance
SHARED3,All,822089.0,Ind-Maintenance
WALK,All,387025.0,Ind-Maintenance
BIKE,All,44600.0,Ind-Maintenance
WALK-TRANSIT,All,64295.0,Ind-Maintenance
PNR-TRANSIT,All,2709.0,Ind-Maintenance
KNR-TRANSIT,All,3562.0,Ind-Maintenance
TNC-TRANSIT,All,1081.0,Ind-Maintenance
TAXI,All,28036.0,Ind-Maintenance
TNC-REG,All,25456.0,Ind-Maintenance
TNC-SHARED,All,12267.0,Ind-Maintenance
SCHOOLBUS,All,0.0,Ind-Maintenance
All,All,4013429.0,Ind-Maintenance
DRIVEALONE,0,7714.0,Ind-Discretionary
SHARED2,0,12991.0,Ind-Discretionary
SHARED3,0,13194.0,Ind-Discretionary
WALK,0,84003.0,Ind-Discretionary
BIKE,0,9529.0,Ind-Discretionary
