coefficient_name,value,constrain
walk_transit_ASC_sr3p_shopping,-4.3852,F
walk_transit_ASC_sr3p_social,-21.6309,F
walk_transit_ASC_sr3p_univ,-28.6972,F
walk_transit_ASC_sr3p_work,-4.1314,F
walk_transit_ASC_walk_atwork,0.5165,F
walk_transit_ASC_walk_eatout,1.3504,F
walk_transit_ASC_walk_escort,-0.9974,F
walk_transit_ASC_walk_othdiscr,-0.4997,F
walk_transit_ASC_walk_othmaint,0.7248,F
walk_transit_ASC_walk_school,-1.1828,F
walk_transit_ASC_walk_shopping,-0.1943,F
walk_transit_ASC_walk_social,-0.7651,F
walk_transit_ASC_walk_univ,-1.0311,F
walk_transit_ASC_walk_work,0.4432,F
pnr_transit_ASC_rh_atwork,0,F
pnr_transit_ASC_rh_eatout,-4,F
pnr_transit_ASC_rh_escort,-4,F
pnr_transit_ASC_rh_othdiscr,-4,F
pnr_transit_ASC_rh_othmaint,-4,F
pnr_transit_ASC_rh_school,-4,F
pnr_transit_ASC_rh_shopping,-4,F
pnr_transit_ASC_rh_social,-4,F
pnr_transit_ASC_rh_univ,-4,F
pnr_transit_ASC_rh_work,-38,F
knr_transit_ASC_rh_atwork,-4,F
knr_transit_ASC_rh_eatout,-2,F
knr_transit_ASC_rh_escort,-4,F
knr_transit_ASC_rh_othdiscr,-2,F
knr_transit_ASC_rh_othmaint,-4,F
knr_transit_ASC_rh_school,-2,F
knr_transit_ASC_rh_shopping,-4,F
knr_transit_ASC_rh_social,-2,F
knr_transit_ASC_rh_univ,-4,F
knr_transit_ASC_rh_work,-6,F
ride_hail_ASC_sr2_atwork,-5.2763,F
ride_hail_ASC_sr2_eatout_social_othdiscr,-5.9692,F
ride_hail_ASC_sr2_escort_shopping_othmaint,-5.6483,F
ride_hail_ASC_sr2_school,-1.5869,F
ride_hail_ASC_sr2_univ,-4.3372,F
ride_hail_ASC_sr2_work,-6.108,F
ride_hail_ASC_sr3p_eatout_social_othdiscr,-6.7199,F
ride_hail_ASC_sr3p_school,-2.5362,F
ride_hail_ASC_sr3p_univ,-4.922,F
ride_hail_ASC_sr3p_work_escort_shopping_othmaint_atwork,-7,F
ride_hail_ASC_taxi_atwork,-1.7764,F
ride_hail_ASC_taxi_eatout_social_othdiscr,-2.5543,F
ride_hail_ASC_taxi_escort_shopping_othmaint,-3.6629,F
ride_hail_ASC_taxi_school,-0.5869,F
ride_hail_ASC_taxi_univ,-1.5994,F
ride_hail_ASC_taxi_work,-2.385,F
ride_hail_ASC_tnc_shared,0,F
ride_hail_ASC_tnc_single_atwork,1.2143,F
ride_hail_ASC_tnc_single_eatout_social_othdiscr,0.8274,F
ride_hail_ASC_tnc_single_escort_shopping_othmaint,0.7879,F
ride_hail_ASC_tnc_single_school,0.3201,F
ride_hail_ASC_tnc_single_univ,0.1081,F
ride_hail_ASC_tnc_single_work,0.735,F
ride_hail_ASC_walk_atwork,-2.6103,F
ride_hail_ASC_walk_eatout_social_othdiscr,-3.3603,F
ride_hail_ASC_walk_school,0.245,F
ride_hail_ASC_walk_transit,0,T
ride_hail_ASC_walk_univ_escort_shopping_othmaint,-7,F
ride_hail_ASC_walk_work,0.2858,F
coef_origin_density_applied_escort_shopping_eatout_othmaint_social_othdiscr_atwork,1,T
coef_origin_density_applied_work_univ_school,0,T
#coef_drive_transit_ASC_rh,-4.25,F
#coef_dtim_atwork,1.34767,F
#coef_dtim_work_univ_school_escort_shopping_eatout_othmaint_social_othdiscr,2,T
#joint_walk_transit_ASC_sr2_eatout,-14.9134,F
#joint_walk_transit_ASC_sr2_othdiscr,-14.9801,F
#joint_walk_transit_ASC_sr2_othmaint,-5.323,F
#joint_walk_transit_ASC_sr2_shopping,-21.5768,F
#joint_walk_transit_ASC_sr2_social,-20.5022,F
#joint_walk_transit_ASC_sr2_work_univ_school_escort_atwork,0,F
#joint_walk_transit_ASC_sr3p_eatout,-16.7587,F
#joint_walk_transit_ASC_sr3p_othdiscr,-16.7354,F
#joint_walk_transit_ASC_sr3p_othmaint,-3.9563,F
#joint_walk_transit_ASC_sr3p_shopping,-25.5953,F
#joint_walk_transit_ASC_sr3p_social,-34.7378,F
#joint_walk_transit_ASC_sr3p_work_univ_school_escort_atwork,0,F
#coef_long_iwait_atwork,0.6738,F
#coef_long_iwait_work_univ_school_escort_shopping_eatout_othmaint_social_othdiscr,1,T
#coef_short_iwait_atwork,1.34767,F
#coef_short_iwait_work_univ_school_escort_shopping_eatout_othmaint_social_othdiscr,2,T
#coef_walktimeshort_atwork,1.34767,F
#coef_walktimeshort_work_univ_school_escort_shopping_eatout_othmaint_social_othdiscr,2,T
#coef_xwait_atwork,1.34767,F
#coef_xwait_work_univ_school_escort_shopping_eatout_othmaint_social_othdiscr,2,T
adjust_tnc_shared,30,T
joint_auto_ASC_rh_shopping_eatout_othmaint_social_othdiscr,-7,F
joint_auto_ASC_rh_work_univ_school_escort_atwork,0,F
joint_auto_ASC_sr2_eatout_othmaint_social_othdiscr,-0.0634,F
joint_auto_ASC_sr2_shopping,0.5875,F
joint_auto_ASC_sr2_work_univ_school_escort_atwork,0,F
joint_auto_ASC_sr3p_eatout_othmaint_social_othdiscr,-0.1625,F
joint_auto_ASC_sr3p_shopping,-19.0454,F
joint_auto_ASC_sr3p_work_univ_school_escort_atwork,0,F
joint_auto_ASC_walk_eatout_othmaint_social_othdiscr,-0.7144,F
joint_auto_ASC_walk_shopping,-23.4688,F
joint_auto_ASC_walk_work_univ_school_escort_atwork,0,F
joint_bike_ASC_rh_shopping_eatout_othmaint_social_othdiscr,-12.3057,F
joint_bike_ASC_rh_work_univ_school_escort_atwork,0,F
joint_bike_ASC_walk_eatout,-15.5588,F
joint_bike_ASC_walk_othdiscr,-14.444,F
joint_bike_ASC_walk_othmaint,-13.5192,F
joint_bike_ASC_walk_shopping,-7.0476,F
joint_bike_ASC_walk_social,-26.1714,F
joint_bike_ASC_walk_work_univ_school_escort_atwork,0,F
joint_drive_transit_ASC_rh_shopping_eatout_othmaint_social_othdiscr,4.6138,F
joint_drive_transit_ASC_rh_work_univ_school_escort_atwork,0,F
joint_ride_hail_ASC_sr2_shopping_eatout_othmaint_social_othdiscr,-7,F
joint_ride_hail_ASC_sr2_work_univ_school_escort_atwork,0,F
joint_ride_hail_ASC_sr3p_shopping_eatout_othmaint_social_othdiscr,-7,F
joint_ride_hail_ASC_sr3p_work_univ_school_escort_atwork,0,F
joint_ride_hail_ASC_taxi_shopping_eatout_othmaint_social_othdiscr,-7,F
joint_ride_hail_ASC_taxi_work_univ_school_escort_atwork,0,F
joint_ride_hail_ASC_tnc_shared,0,F
joint_ride_hail_ASC_tnc_single_shopping_eatout_othmaint_social_othdiscr,-4.7339,F
joint_ride_hail_ASC_tnc_single_work_univ_school_escort_atwork,0,F
joint_ride_hail_ASC_walk_shopping_eatout_othmaint_social_othdiscr,-7,F
joint_ride_hail_ASC_walk_transit,0,F
joint_ride_hail_ASC_walk_work_univ_school_escort_atwork,0,F
joint_walk_ASC_rh_shopping_eatout_othmaint_social_othdiscr,-3.0362,F
joint_walk_ASC_rh_work_univ_school_escort_atwork,0,F
joint_walk_transit_ASC_rh_shopping_eatout_othmaint_social_othdiscr,1.2266,F
joint_walk_transit_ASC_rh_work_univ_school_escort_atwork,0,F
joint_walk_transit_ASC_walk_eatout,2.3017,F
joint_walk_transit_ASC_walk_othdiscr,-0.0024,F
joint_walk_transit_ASC_walk_othmaint,1.1876,F
joint_walk_transit_ASC_walk_shopping,-0.5472,F
joint_walk_transit_ASC_walk_social,-2.1301,F
joint_walk_transit_ASC_walk_work_univ_school_escort_atwork,0,F
#coef_topology_bike_multiplier_atwork,10,F
#coef_topology_bike_multiplier_eatout_escort_othdiscr_othmaint_school_shopping_social_univ_work,20,F
#coef_topology_trn_multiplier_atwork,2,F
#coef_topology_trn_multiplier_eatout_escort_othdiscr_othmaint_school_shopping_social_univ_work,2.2,F
#coef_topology_walk_multiplier_atwork,7.5,F
#coef_topology_walk_multiplier_eatout_escort_othdiscr_othmaint_school_shopping_social_univ_work,15,F
schbus_ASC_eatout_escort_othdiscr_othmaint_shopping_social_univ_work_atwork,-999,T
schbus_ASC_sbtourntrip_sr2,-4,F
schbus_ASC_sbtourntrip_sr3,-4,F
schbus_ASC_sbtourntrip_taxi,-4,F
schbus_ASC_sbtourntrip_tncshared,-4,F
schbus_ASC_sbtourntrip_tncsingle,-4,F
schbus_ASC_sbtourntrip_trnknr,-4,F
schbus_ASC_sbtourntrip_trntnc,-4,F
schbus_ASC_sbtourntrip_trnw,-4,F
schbus_ASC_sbtourntrip_walk,-4,F
schbus_ASC_school,0.005,F
walk_express_penalty,10,T
