periods_left_min,periods_left_max,outbound,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
11.0,11.0,True,0.20309970080356138,0.4833515808050435,0.10899843482752991,0.08002156969420933,0.06442546273913935,0.035037690197726463,0.015482601485234742,0.008077060205554914,0.0,0.0015058992420003466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,12.0,True,0.16541890644903637,0.31562251858467577,0.2050420761690478,0.23688259815046334,0.037786906474533005,0.015253222059880844,0.00767389580445961,0.013514731000227978,0.0,0.0011332888793152052,0.0016718564283601178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,13.0,True,0.18675977096683632,0.3164974908494729,0.18838093078084647,0.1468525977048987,0.0942899585319887,0.04060306954902151,0.006919576905793153,0.007318801682700777,0.007104629038199179,0.005273173990242135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,14.0,True,0.26102614055318474,0.28819854853551086,0.14237965017063964,0.10186981497470167,0.0631565687924895,0.05467638479409036,0.02994828164285325,0.027110431881907173,0.015979061677715786,0.0009096218006754088,0.013600394435223375,0.001145100741008254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,15.0,True,0.35739659675431357,0.2779444603618886,0.11526869443183836,0.0715842684764315,0.05020921515534297,0.07004588061514855,0.029108781972248313,0.013527415915974226,0.002700747357901431,0.0016411737310115507,0.009093767535662791,0.0014789976922379609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,16.0,True,0.2518474893421343,0.26997727583925324,0.09632766106823319,0.14421861244776224,0.1270810194538026,0.05207384837607418,0.012833372634014803,0.013367896829250428,0.0,0.015329643746527595,0.014995335730462817,0.0019478445324843956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,17.0,True,0.25629346206652576,0.37788596649164746,0.07846584079938936,0.15160356287337673,0.03334566928116468,0.029992315673766697,0.02516667796941135,0.022948318015729188,0.012105787763990808,0.0,0.008573034809778597,0.0,0.0,0.0,0.0026001940176450834,0.0010191702375744024,0.0,0.0,0.0,0.0,0.0,0.0
18.0,18.0,True,0.34507069055202516,0.34825672764382226,0.12011217045105439,0.07612511857992248,0.0256142470036972,0.028320024184572,0.036364737126405366,0.006428864004898573,0.003914980462188959,0.006234950059027819,0.0,0.0,0.0035574899323855998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,19.0,True,0.3377187964711091,0.37169101938993504,0.11798488913346382,0.059572677986409917,0.03236310559872322,0.015829816077034705,0.011948208472179127,0.017698343514945817,0.010103309478546063,0.0176126955746846,0.005295828620195135,0.0021813096827735684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,20.0,True,0.3234306357009279,0.4111336649169716,0.12167764818422386,0.03737657306882325,0.014750107385903629,0.010189540203273086,0.028854867294536166,0.02030603897939393,0.0067754768511922945,0.012520833174037314,0.004671171600574955,0.0022299235215903213,0.0008661138714973718,0.0021384557067628076,0.0,0.003078949540291695,0.0,0.0,0.0,0.0,0.0,0.0
21.0,47.0,True,0.21197873983838905,0.35009032921728794,0.1437620311063748,0.0891371951869954,0.05625964717304586,0.0313751650397854,0.023043113362119585,0.014546883256171726,0.021675816360764037,0.012679446826875518,0.003631205348696666,0.010111241085690836,0.006228287843272375,0.0030776141479163365,0.003614800994618945,0.0007463087591080556,0.004010025131007654,0.00019422630163254325,0.0058892039328244696,0.002997140952456148,0.000906640450768814,0.004044937684197763
0.0,0.0,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,False,0.5128358398821031,0.48716416011789676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2.0,False,0.05635100513622537,0.763047900247425,0.18060109461634974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,3.0,False,0.0130226306161106,0.27556913108971526,0.571327448186172,0.14008079010800226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,4.0,False,0.006011354231137045,0.07220770768360292,0.3714710409524858,0.46407888273972325,0.08623101439305099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
