coefficient_name,value,constrain
sr3p_ASC_auto_deficient_othdiscr,-0.093528305,F
sr3p_ASC_auto_sufficient_othdiscr,-0.485783865,F
sr3p_ASC_no_auto_othdiscr,-1.791002168,F
taxi_ASC_auto_deficient_othdiscr,-999,T
taxi_ASC_auto_sufficient_othdiscr,-999,T
taxi_ASC_no_auto_othdiscr,-999,T
tnc_shared_ASC_auto_deficient_othdiscr,-999,T
tnc_shared_ASC_auto_sufficient_othdiscr,-3.590108066,F
tnc_shared_ASC_no_auto_othdiscr,1.834840774,F
tnc_single_ASC_auto_deficient_othdiscr,-1.815836492,F
tnc_single_ASC_auto_sufficient_othdiscr,-2.808760584,F
tnc_single_ASC_no_auto_othdiscr,1.91158559,F
tnc_transit_ASC_auto_deficient_othdiscr,-999,T
tnc_transit_ASC_auto_sufficient_othdiscr,-999,T
tnc_transit_ASC_no_auto_othdiscr,-999,T
tnc_transit_CBD_ASC_othdiscr,0,T
walk_ASC_auto_deficient_othdiscr,5.84383798,F
walk_ASC_auto_sufficient_othdiscr,4.405372828,F
walk_ASC_no_auto_othdiscr,8.683919348,F
walk_transit_ASC_auto_deficient_othdiscr,0.473955723,F
walk_transit_ASC_auto_sufficient_othdiscr,-0.740491233,F
walk_transit_ASC_no_auto_othdiscr,4.96843066,F
walk_transit_CBD_ASC_othdiscr,0.91,F
CTArail_ASC_othmaint,0,T
Express_bus_ASC_othmaint,0,T
Metrarail_ASC_othmaint,0,T
bike_ASC_auto_deficient_othmaint,-0.77358757,F
bike_ASC_auto_sufficient_othmaint,-3.371586058,F
bike_ASC_no_auto_othmaint,4.815583031,F
coef_age010_trn_maint,0,T
coef_age1619_da_maint,-0.722,F
coef_age16p_sr_maint,-0.297,F
coef_hhsize1_sr_maint,-0.732,F
coef_hhsize2_sr_maint,-0.727,F
knr_transit_ASC_auto_deficient_othmaint,1.914288753,F
knr_transit_ASC_auto_sufficient_othmaint,0.958945802,F
knr_transit_ASC_no_auto_othmaint,5.267589487,F
knr_transit_CBD_ASC_othmaint,2.44,F
pnr_transit_ASC_auto_deficient_othmaint,-999,T
pnr_transit_ASC_auto_sufficient_othmaint,1.434901416,F
pnr_transit_ASC_no_auto_othmaint,-999,T
pnr_transit_CBD_ASC_othmaint,0.26,F
sr2_ASC_auto_deficient_othmaint,-0.39392536,F
sr2_ASC_auto_sufficient_othmaint,-0.607283587,F
sr2_ASC_no_auto_othmaint,1.945735307,F
sr3p_ASC_auto_deficient_othmaint,-0.561213309,F
sr3p_ASC_auto_sufficient_othmaint,-1.151312482,F
sr3p_ASC_no_auto_othmaint,2.102568843,F
taxi_ASC_auto_deficient_othmaint,-0.542859605,F
taxi_ASC_auto_sufficient_othmaint,-1.134290607,F
taxi_ASC_no_auto_othmaint,4.81480525,F
tnc_shared_ASC_auto_deficient_othmaint,-1.060406861,F
tnc_shared_ASC_auto_sufficient_othmaint,-2.691705361,F
tnc_shared_ASC_no_auto_othmaint,-999,T
tnc_single_ASC_auto_deficient_othmaint,-0.759239615,F
tnc_single_ASC_auto_sufficient_othmaint,-2.778152587,F
tnc_single_ASC_no_auto_othmaint,3.353350055,F
tnc_transit_ASC_auto_deficient_othmaint,-999,T
tnc_transit_ASC_auto_sufficient_othmaint,-999,T
tnc_transit_ASC_no_auto_othmaint,-999,T
tnc_transit_CBD_ASC_othmaint,0,T
walk_ASC_auto_deficient_othmaint,4.621424697,F
walk_ASC_auto_sufficient_othmaint,3.496316886,F
walk_ASC_no_auto_othmaint,8.765923066,F
walk_transit_ASC_auto_deficient_othmaint,1.687576443,F
walk_transit_ASC_auto_sufficient_othmaint,0.172104724,F
walk_transit_ASC_no_auto_othmaint,6.277404029,F
walk_transit_CBD_ASC_othmaint,1.21,F
CTArail_ASC_school,0.568,F
Express_bus_ASC_school,0,T
Metrarail_ASC_school,0,T
bike_ASC_auto_deficient_school,-2.484488293,F
bike_ASC_auto_sufficient_school,-2.671200878,F
bike_ASC_no_auto_school,1.679265825,F
coef_age010_trn_school,-1.5548,T
coef_age1619_da_school,-2.68,F
coef_age16p_sr_school,-0.544,F
coef_biketime_school,-0.0896,T
coef_density_index_school,0.0978,F
coef_dtim_school,-0.0448,T
coef_hhsize1_sr_school,0,T
coef_hhsize2_sr_school,-0.463,F
coef_inc_adj_cost_school,-0.262,T
coef_ivt_school,-0.0224,T
coef_iwait_school,-0.0448,T
coef_walktime_school,-0.0448,T
coef_xwait_school,-0.0448,T
wlktrn_metra_distpen_school,-6.048,T
drvtrn_distpen_school,-6.048,T
knr_transit_ASC_auto_deficient_school,-999,T
knr_transit_ASC_auto_sufficient_school,-999,T
knr_transit_ASC_no_auto_school,-999,T
knr_transit_CBD_ASC_school,0,T
pnr_transit_ASC_auto_deficient_school,-999,T
pnr_transit_ASC_auto_sufficient_school,-999,T
pnr_transit_ASC_no_auto_school,-999,T
pnr_transit_CBD_ASC_school,0,T
schoolbus_ASC_auto_deficient_school,-0.364154872,F
schoolbus_ASC_auto_sufficient_school,-1.717116392,F
schoolbus_ASC_no_auto_school,1.41621535,F
sr2_ASC_auto_deficient_school,-1.459315157,F
